T1,error_bps
100,1.024882437
100,0.149250211
100,0.851456421
100,0.023490189
100,0.302413768
100,2.535847774
100,0.435639688
100,0.100491859
100,3.043748
100,0.848717859
100,0.074602712
100,1.700971277
100,0.367543331
100,0.103816595
100,2.375501823
100,1.000351716
100,1.09780387
100,0.081235151
100,0.321040698
100,0.570487232
100,0.388905302
100,1.74384126
100,0.330741515
100,0.157930531
100,4.072116161
100,3.576110912
100,1.206589466
100,0.521127586
100,0.495051925
100,0.559177827
100,0.230144898
100,0.298357682
100,2.221926356
100,0.212550587
100,0.193951846
100,0.18984687
100,1.118789531
100,0.659674296
100,1.250946123
100,0.892275789
100,1.88362407
100,0.298549719
100,0.180660549
100,0.242006834
100,1.182775801
100,3.526213136
100,0.231506897
100,1.099885855
100,0.225029073
100,0.371226043
200,0.598526079
200,0.367306785
200,0.354566026
200,0.023668865
200,0.096121175
200,1.779006686
200,0.247801865
200,0.170322224
200,0.316142737
200,0.457913167
200,0.074837906
200,0.609675301
200,2.133510337
200,0.182485088
200,0.426396941
200,0.046326572
200,1.1047724
200,0.087039909
200,0.204409549
200,0.642664474
200,0.573032317
200,0.012918582
200,0.960149446
200,0.737585943
200,1.014940236
200,1.012498678
200,0.78462432
200,0.388368238
200,0.045894845
200,0.257894104
200,0.034873703
200,0.960608004
200,0.16238366
200,0.360143892
200,0.120838204
200,3.710816976
200,1.181781231
200,0.077866856
200,0.306538684
200,0.198748555
200,0.035672239
200,0.217361848
200,0.487335882
200,2.532955912
200,0.740346538
200,0.66781087
200,1.130240427
200,0.41639358
200,0.064280449
200,0.010158332
500,0.309652367
500,0.654869065
500,0.09119534
500,0.024072502
500,0.024154984
500,0.084799458
500,0.078263685
500,0.228117093
500,0.745667042
500,0.662738155
500,0.328365036
500,0.024540543
500,0.27490557
500,0.794722396
500,0.067587011
500,0.160809978
500,0.078888648
500,0.344293752
500,0.139274725
500,1.092474993
500,0.083746246
500,0.019479793
500,0.319175625
500,0.011058566
500,0.148383537
500,0.052858623
500,0.344068023
500,0.138846693
500,0.054128467
500,0.076873453
500,0.117415949
500,0.25364357
500,0.211820883
500,0.300866828
500,0.099734434
500,0.041908162
500,0.169503696
500,0.53502634
500,0.392283661
500,0.100395712
500,0.084763969
500,0.409462681
500,0.075004745
500,0.385870466
500,0.281371211
500,0.09779975
500,0.109934688
500,0.02035159
500,0.146186296
500,0.080604908
1000,0.371329062
1000,0.04797591
1000,0.047949021
1000,0.148945087
1000,0.024726678
1000,0.049485443
1000,0.078239864
1000,0.325762553
1000,0.108517585
1000,0.20683146
1000,0.153393014
1000,0.326756339
1000,0.012424822
1000,0.01049306
1000,0.584857437
1000,0.01896367
1000,0.0627448
1000,0.301921872
1000,0.07438953
1000,0.008176198
1000,0.12590403
1000,0.114409779
1000,0.143296914
1000,0.136617313
1000,0.091866843
1000,0.109013568
1000,0.220912119
1000,0.065632444
1000,0.25597272
1000,0.071086366
1000,0.034848858
1000,0.099997208
1000,0.262774779
1000,0.09819242
1000,0.074256522
1000,0.080312246
1000,0.0290364
1000,0.44934959
1000,0.021492301
1000,0.017496546
1000,0.069489881
1000,0.057823574
1000,8.94E-06
1000,0.238699619
1000,0.245581114
1000,0.128334353
1000,0.005744977
1000,0.264800389
1000,0.003346005
1000,0.055461809
5000,0.024220367
5000,0.022740416
5000,0.084540112
5000,0.012639053
5000,0.051775882
5000,0.019538595
5000,0.022780111
5000,0.021731132
5000,0.020587099
5000,0.088637708
5000,0.054643727
5000,0.02722669
5000,0.048424094
5000,0.003540603
5000,0.018422593
5000,0.050486716
5000,0.049472169
5000,0.021288524
5000,0.016605885
5000,0.001757384
5000,0.010833086
5000,0.029426694
5000,0.075885337
5000,0.004568749
5000,0.065994957
5000,0.068842457
5000,0.099580573
5000,0.058589671
5000,0.045930372
5000,0.05138657
5000,0.015576553
5000,0.061423853
5000,0.017692726
5000,0.105285019
5000,0.013779565
5000,0.038131215
5000,0.094237124
5000,0.014693422
5000,0.045020896
5000,0.006086931
5000,0.027716188
5000,0.028790888
5000,0.005601587
5000,0.08579821
5000,0.144256384
5000,0.061416493
5000,0.050749078
5000,0.122821393
5000,0.045855836
5000,0.029246631
